detector,dataset,from,to,from_root,to_root,from_qual,to_qual,same_root,true,pred,correct
spectral-flux,normal_sustain,F♯ min,B min,F♯,B,min,min,False,B min,C dim,0
spectral-flux,normal_sustain,B min,C min,B,C,min,min,False,C min,C min,1
spectral-flux,normal_sustain,C min,G♯ dim,C,G♯,min,dim,False,G♯ dim,C dim,0
spectral-flux,normal_sustain,G♯ dim,F min,G♯,F,dim,min,False,F min,F min,1
spectral-flux,normal_sustain,F min,G min,F,G,min,min,False,G min,C dim,0
spectral-flux,normal_sustain,G min,G♯ dim,G,G♯,min,dim,False,G♯ dim,G♯ dim,1
spectral-flux,normal_sustain,G♯ dim,C♯ min,G♯,C♯,dim,min,False,C♯ min,C♯ min,1
spectral-flux,normal_sustain,C♯ min,G♯ dim,C♯,G♯,min,dim,False,G♯ dim,G♯ dim,1
spectral-flux,normal_sustain,G dim,G maj,G,G,dim,maj,True,G maj,C dim,0
spectral-flux,normal_sustain,G maj,G min,G,G,maj,min,True,G min,G maj,0
spectral-flux,normal_sustain,G min,A min,G,A,min,min,False,A min,A min,1
spectral-flux,normal_sustain,A min,D♯ min,A,D♯,min,min,False,D♯ min,C dim,0
spectral-flux,normal_sustain,D♯ min,C♯ maj,D♯,C♯,min,maj,False,C♯ maj,C♯ maj,1
spectral-flux,normal_sustain,C♯ maj,F♯ maj,C♯,F♯,maj,maj,False,F♯ maj,F♯ maj,1
spectral-flux,normal_sustain,F♯ maj,C♯ maj,F♯,C♯,maj,maj,False,C♯ maj,C dim,0
spectral-flux,normal_sustain,C♯ maj,F♯ maj,C♯,F♯,maj,maj,False,F♯ maj,A♯ min,0
spectral-flux,normal_sustain,F♯ maj,F maj,F♯,F,maj,maj,False,F maj,F maj,1
spectral-flux,normal_sustain,D♯ maj,F♯ min,D♯,F♯,maj,min,False,F♯ min,F♯ min,1
spectral-flux,normal_sustain,F♯ min,D♯ maj,F♯,D♯,min,maj,False,D♯ maj,D♯ maj,1
spectral-flux,normal_sustain,D♯ maj,C min,D♯,C,maj,min,False,C min,C min,1
spectral-flux,normal_sustain,C min,B maj,C,B,min,maj,False,B maj,B maj,1
spectral-flux,normal_sustain,B maj,G♯ min,B,G♯,maj,min,False,G♯ min,G♯ min,1
spectral-flux,normal_sustain,G♯ min,F♯ dim,G♯,F♯,min,dim,False,F♯ dim,F♯ dim,1
spectral-flux,normal_sustain,F♯ dim,A dim,F♯,A,dim,dim,False,A dim,A dim,1
spectral-flux,normal_sustain,A dim,C♯ min,A,C♯,dim,min,False,C♯ min,C♯ min,1
spectral-flux,normal_sustain,C♯ min,E maj,C♯,E,min,maj,False,E maj,E maj,1
spectral-flux,broken_sustain,A♯ min,G♯ min,A♯,G♯,min,min,False,G♯ min,G♯ min,1
spectral-flux,broken_sustain,G♯ min,C maj,G♯,C,min,maj,False,C maj,C dim,0
spectral-flux,broken_sustain,C maj,C♯ min,C,C♯,maj,min,False,C♯ min,C dim,0
spectral-flux,broken_sustain,C♯ min,D dim,C♯,D,min,dim,False,D dim,C dim,0
spectral-flux,broken_sustain,D dim,C♯ min,D,C♯,dim,min,False,C♯ min,C dim,0
spectral-flux,broken_sustain,C♯ min,C maj,C♯,C,min,maj,False,C maj,C dim,0
spectral-flux,broken_sustain,C maj,B min,C,B,maj,min,False,B min,C dim,0
spectral-flux,broken_sustain,B min,A min,B,A,min,min,False,A min,A min,1
spectral-flux,broken_sustain,A min,C♯ dim,A,C♯,min,dim,False,C♯ dim,C♯ dim,1
spectral-flux,broken_sustain,C♯ dim,A dim,C♯,A,dim,dim,False,A dim,G♯ maj,0
spectral-flux,broken_sustain,A dim,G dim,A,G,dim,dim,False,G dim,G dim,1
spectral-flux,broken_sustain,G dim,C♯ maj,G,C♯,dim,maj,False,C♯ maj,C dim,0
spectral-flux,broken_sustain,C♯ maj,C♯ dim,C♯,C♯,maj,dim,True,C♯ dim,E dim,0
spectral-flux,broken_sustain,C♯ dim,C dim,C♯,C,dim,dim,False,C dim,C dim,1
spectral-flux,broken_sustain,C dim,C maj,C,C,dim,maj,True,C maj,C dim,0
spectral-flux,broken_sustain,C maj,G♯ dim,C,G♯,maj,dim,False,G♯ dim,C dim,0
spectral-flux,broken_sustain,G♯ dim,G♯ maj,G♯,G♯,dim,maj,True,G♯ maj,G♯ maj,1
spectral-flux,broken_sustain,G♯ maj,E min,G♯,E,maj,min,False,E min,E min,1
spectral-flux,broken_sustain,F maj,D maj,F,D,maj,maj,False,D maj,C dim,0
spectral-flux,broken_sustain,D maj,D min,D,D,maj,min,True,D min,C dim,0
spectral-flux,broken_sustain,D min,G dim,D,G,min,dim,False,G dim,G dim,1
spectral-flux,broken_sustain,G dim,G dim,G,G,dim,dim,True,G dim,G dim,1
spectral-flux,broken_sustain,G dim,C♯ maj,G,C♯,dim,maj,False,C♯ maj,C dim,0
spectral-flux,broken_sustain,C♯ maj,A♯ maj,C♯,A♯,maj,maj,False,A♯ maj,C dim,0
spectral-flux,broken_sustain,A♯ maj,C maj,A♯,C,maj,maj,False,C maj,C maj,1
spectral-flux,broken_sustain,C maj,D maj,C,D,maj,maj,False,D maj,C dim,0
spectral-flux,broken_sustain,D maj,C min,D,C,maj,min,False,C min,C dim,0
spectral-flux,broken_sustain,C♯ dim,C♯ maj,C♯,C♯,dim,maj,True,C♯ maj,C dim,0
spectral-flux,broken_sustain,C♯ maj,F♯ min,C♯,F♯,maj,min,False,F♯ min,F♯ min,1
spectral-flux,broken_sustain,F♯ min,B dim,F♯,B,min,dim,False,B dim,B dim,1
spectral-flux,broken_sustain,B dim,A♯ min,B,A♯,dim,min,False,A♯ min,A♯ min,1
spectral-flux,broken_sustain,A♯ min,F♯ dim,A♯,F♯,min,dim,False,F♯ dim,F♯ dim,1
spectral-flux,broken_sustain,F♯ dim,B min,F♯,B,dim,min,False,B min,B min,1
spectral-flux,broken_sustain,B min,G maj,B,G,min,maj,False,G maj,G maj,1
spectral-flux,broken_sustain,G maj,C dim,G,C,maj,dim,False,C dim,C dim,1
spectral-flux,broken_sustain,C dim,F♯ maj,C,F♯,dim,maj,False,F♯ maj,F♯ maj,1
spectral-flux,broken_sustain,C min,B dim,C,B,min,dim,False,B dim,C dim,0
spectral-flux,broken_sustain,B dim,C min,B,C,dim,min,False,C min,C dim,0
spectral-flux,broken_sustain,C min,C maj,C,C,min,maj,True,C maj,C maj,1
spectral-flux,broken_sustain,C maj,D♯ dim,C,D♯,maj,dim,False,D♯ dim,D♯ dim,1
spectral-flux,broken_sustain,D♯ dim,B min,D♯,B,dim,min,False,B min,C dim,0
spectral-flux,broken_sustain,B min,D♯ maj,B,D♯,min,maj,False,D♯ maj,C dim,0
spectral-flux,broken_sustain,D♯ maj,C min,D♯,C,maj,min,False,C min,C dim,0
spectral-flux,broken_sustain,C min,F♯ min,C,F♯,min,min,False,F♯ min,C dim,0
spectral-flux,broken_sustain,F♯ min,C♯ min,F♯,C♯,min,min,False,C♯ min,C♯ dim,0
spectral-flux,broken_sustain,B dim,E maj,B,E,dim,maj,False,E maj,E maj,1
spectral-flux,broken_sustain,E maj,A dim,E,A,maj,dim,False,A dim,G♯ maj,0
spectral-flux,broken_sustain,A dim,C♯ min,A,C♯,dim,min,False,C♯ min,C♯ min,1
spectral-flux,broken_sustain,C♯ min,D♯ maj,C♯,D♯,min,maj,False,D♯ maj,C dim,0
spectral-flux,broken_sustain,D♯ maj,C maj,D♯,C,maj,maj,False,C maj,C maj,1
spectral-flux,broken_sustain,C maj,F♯ min,C,F♯,maj,min,False,F♯ min,F♯ min,1
spectral-flux,broken_sustain,F♯ min,A min,F♯,A,min,min,False,A min,A min,1
spectral-flux,broken_sustain,A min,C dim,A,C,min,dim,False,C dim,C dim,1
spectral-flux,broken_sustain,C dim,G♯ maj,C,G♯,dim,maj,False,G♯ maj,G♯ maj,1
spectral-flux,broken_sustain,C♯ maj,A♯ dim,C♯,A♯,maj,dim,False,A♯ dim,C dim,0
spectral-flux,broken_sustain,A♯ dim,G♯ min,A♯,G♯,dim,min,False,G♯ min,G♯ min,1
spectral-flux,broken_sustain,G♯ min,G♯ min,G♯,G♯,min,min,True,G♯ min,G♯ min,1
spectral-flux,broken_sustain,G♯ min,B maj,G♯,B,min,maj,False,B maj,C dim,0
spectral-flux,broken_sustain,B maj,G♯ min,B,G♯,maj,min,False,G♯ min,C dim,0
spectral-flux,broken_sustain,G♯ min,E maj,G♯,E,min,maj,False,E maj,C dim,0
spectral-flux,broken_sustain,E maj,B min,E,B,maj,min,False,B min,C dim,0
spectral-flux,broken_sustain,B min,A♯ min,B,A♯,min,min,False,A♯ min,C dim,0
spectral-flux,broken_sustain,A♯ min,F dim,A♯,F,min,dim,False,F dim,F dim,1
spectral-flux,broken_sustain,G min,F maj,G,F,min,maj,False,F maj,C dim,0
spectral-flux,broken_sustain,F maj,A maj,F,A,maj,maj,False,A maj,A min,0
spectral-flux,broken_sustain,A maj,D♯ maj,A,D♯,maj,maj,False,D♯ maj,C dim,0
spectral-flux,broken_sustain,D♯ maj,G maj,D♯,G,maj,maj,False,G maj,C dim,0
spectral-flux,broken_sustain,G maj,D min,G,D,maj,min,False,D min,C dim,0
spectral-flux,broken_sustain,D min,F min,D,F,min,min,False,F min,G♯ maj,0
spectral-flux,broken_sustain,F min,F♯ min,F,F♯,min,min,False,F♯ min,F♯ min,1
spectral-flux,broken_sustain,F♯ min,F♯ dim,F♯,F♯,min,dim,True,F♯ dim,F♯ dim,1
spectral-flux,broken_sustain,F♯ dim,B maj,F♯,B,dim,maj,False,B maj,B maj,1
spectral-flux,broken_sustain,G maj,D♯ min,G,D♯,maj,min,False,D♯ min,C dim,0
spectral-flux,broken_sustain,D♯ min,F♯ min,D♯,F♯,min,min,False,F♯ min,F♯ min,1
spectral-flux,broken_sustain,F♯ min,D maj,F♯,D,min,maj,False,D maj,D maj,1
spectral-flux,broken_sustain,D maj,A♯ min,D,A♯,maj,min,False,A♯ min,A♯ min,1
spectral-flux,broken_sustain,A♯ min,C dim,A♯,C,min,dim,False,C dim,C dim,1
spectral-flux,broken_sustain,C dim,D maj,C,D,dim,maj,False,D maj,C dim,0
spectral-flux,broken_sustain,D maj,A♯ maj,D,A♯,maj,maj,False,A♯ maj,A♯ maj,1
spectral-flux,broken_sustain,A♯ maj,G♯ min,A♯,G♯,maj,min,False,G♯ min,G♯ min,1
spectral-flux,broken_sustain,G♯ min,G maj,G♯,G,min,maj,False,G maj,G maj,1
spectral-flux,broken_sustain,G min,F♯ maj,G,F♯,min,maj,False,F♯ maj,C dim,0
spectral-flux,broken_sustain,F♯ maj,G dim,F♯,G,maj,dim,False,G dim,G dim,1
spectral-flux,broken_sustain,G dim,E dim,G,E,dim,dim,False,E dim,E dim,1
spectral-flux,broken_sustain,E dim,C♯ dim,E,C♯,dim,dim,False,C♯ dim,C dim,0
spectral-flux,broken_sustain,C♯ dim,C♯ dim,C♯,C♯,dim,dim,True,C♯ dim,C♯ dim,1
spectral-flux,broken_sustain,C♯ dim,C♯ dim,C♯,C♯,dim,dim,True,C♯ dim,C dim,0
spectral-flux,broken_sustain,C♯ dim,F♯ dim,C♯,F♯,dim,dim,False,F♯ dim,C dim,0
spectral-flux,broken_sustain,F♯ dim,B maj,F♯,B,dim,maj,False,B maj,B maj,1
spectral-flux,broken_sustain,B maj,E min,B,E,maj,min,False,E min,E min,1
spectral-flux,broken_sustain,D min,D♯ dim,D,D♯,min,dim,False,D♯ dim,D♯ dim,1
spectral-flux,broken_sustain,D♯ dim,F♯ maj,D♯,F♯,dim,maj,False,F♯ maj,F♯ maj,1
spectral-flux,broken_sustain,F♯ maj,A dim,F♯,A,maj,dim,False,A dim,A dim,1
spectral-flux,broken_sustain,A dim,C♯ min,A,C♯,dim,min,False,C♯ min,C♯ min,1
spectral-flux,broken_sustain,C♯ min,E maj,C♯,E,min,maj,False,E maj,C dim,0
spectral-flux,broken_sustain,E maj,G♯ maj,E,G♯,maj,maj,False,G♯ maj,G♯ maj,1
spectral-flux,broken_sustain,G♯ maj,D maj,G♯,D,maj,maj,False,D maj,C dim,0
spectral-flux,broken_sustain,D maj,G maj,D,G,maj,maj,False,G maj,G maj,1
spectral-flux,broken_sustain,G maj,A♯ min,G,A♯,maj,min,False,A♯ min,C dim,0
spectral-flux,broken_sustain,A♯ dim,G min,A♯,G,dim,min,False,G min,C dim,0
spectral-flux,broken_sustain,G min,C♯ dim,G,C♯,min,dim,False,C♯ dim,C♯ dim,1
spectral-flux,broken_sustain,C♯ dim,G dim,C♯,G,dim,dim,False,G dim,G dim,1
spectral-flux,broken_sustain,G dim,C min,G,C,dim,min,False,C min,C min,1
spectral-flux,broken_sustain,C min,D♯ dim,C,D♯,min,dim,False,D♯ dim,D♯ dim,1
spectral-flux,broken_sustain,D♯ dim,C♯ dim,D♯,C♯,dim,dim,False,C♯ dim,C♯ dim,1
spectral-flux,broken_sustain,C♯ dim,D♯ min,C♯,D♯,dim,min,False,D♯ min,C dim,0
spectral-flux,broken_sustain,D♯ min,D♯ min,D♯,D♯,min,min,True,D♯ min,C dim,0
spectral-flux,broken_sustain,D♯ min,G♯ dim,D♯,G♯,min,dim,False,G♯ dim,G♯ dim,1
spectral-flux,broken_sustain,D♯ min,D min,D♯,D,min,min,False,D min,C dim,0
spectral-flux,broken_sustain,D min,C♯ min,D,C♯,min,min,False,C♯ min,C♯ min,1
spectral-flux,broken_sustain,C♯ min,G♯ maj,C♯,G♯,min,maj,False,G♯ maj,G♯ maj,1
spectral-flux,broken_sustain,G♯ maj,A♯ dim,G♯,A♯,maj,dim,False,A♯ dim,C dim,0
spectral-flux,broken_sustain,A♯ dim,A maj,A♯,A,dim,maj,False,A maj,A maj,1
spectral-flux,broken_sustain,A maj,C♯ maj,A,C♯,maj,maj,False,C♯ maj,C♯ maj,1
spectral-flux,broken_sustain,C♯ maj,E dim,C♯,E,maj,dim,False,E dim,E dim,1
spectral-flux,broken_sustain,E dim,F♯ min,E,F♯,dim,min,False,F♯ min,F♯ min,1
spectral-flux,broken_sustain,F♯ min,F maj,F♯,F,min,maj,False,F maj,F maj,1
spectral-flux,broken_sustain,F♯ maj,G♯ maj,F♯,G♯,maj,maj,False,G♯ maj,G♯ maj,1
spectral-flux,broken_sustain,G♯ maj,B min,G♯,B,maj,min,False,B min,B min,1
spectral-flux,broken_sustain,B min,E maj,B,E,min,maj,False,E maj,E maj,1
spectral-flux,broken_sustain,E maj,A♯ maj,E,A♯,maj,maj,False,A♯ maj,A♯ maj,1
spectral-flux,broken_sustain,A♯ maj,D♯ maj,A♯,D♯,maj,maj,False,D♯ maj,C dim,0
spectral-flux,broken_sustain,D♯ maj,D♯ min,D♯,D♯,maj,min,True,D♯ min,D♯ min,1
spectral-flux,broken_sustain,D♯ min,A min,D♯,A,min,min,False,A min,A min,1
spectral-flux,broken_sustain,A min,A min,A,A,min,min,True,A min,A min,1
spectral-flux,broken_sustain,A min,A♯ maj,A,A♯,min,maj,False,A♯ maj,A♯ maj,1
spectral-flux,broken_sustain,B dim,D♯ min,B,D♯,dim,min,False,D♯ min,C dim,0
spectral-flux,broken_sustain,D♯ min,E min,D♯,E,min,min,False,E min,E min,1
spectral-flux,broken_sustain,E min,D dim,E,D,min,dim,False,D dim,D dim,1
spectral-flux,broken_sustain,D dim,F min,D,F,dim,min,False,F min,G♯ maj,0
spectral-flux,broken_sustain,F min,C maj,F,C,min,maj,False,C maj,C maj,1
spectral-flux,broken_sustain,C maj,G dim,C,G,maj,dim,False,G dim,G dim,1
spectral-flux,broken_sustain,G dim,B maj,G,B,dim,maj,False,B maj,B maj,1
spectral-flux,broken_sustain,B maj,A min,B,A,maj,min,False,A min,A min,1
spectral-flux,broken_sustain,A min,D maj,A,D,min,maj,False,D maj,F♯ min,0
spectral-flux,broken_sustain,C♯ maj,A♯ min,C♯,A♯,maj,min,False,A♯ min,C dim,0
spectral-flux,broken_sustain,A♯ min,A dim,A♯,A,min,dim,False,A dim,A dim,1
spectral-flux,broken_sustain,A dim,A maj,A,A,dim,maj,True,A maj,A min,0
spectral-flux,broken_sustain,A maj,D♯ maj,A,D♯,maj,maj,False,D♯ maj,C dim,0
spectral-flux,broken_sustain,D♯ maj,A♯ dim,D♯,A♯,maj,dim,False,A♯ dim,C dim,0
spectral-flux,broken_sustain,A♯ dim,C maj,A♯,C,dim,maj,False,C maj,C maj,1
spectral-flux,broken_sustain,C maj,D maj,C,D,maj,maj,False,D maj,C dim,0
spectral-flux,broken_sustain,D maj,C♯ min,D,C♯,maj,min,False,C♯ min,C♯ min,1
spectral-flux,broken_sustain,C♯ min,F maj,C♯,F,min,maj,False,F maj,F maj,1
spectral-flux,broken_sustain,F♯ min,D♯ maj,F♯,D♯,min,maj,False,D♯ maj,D♯ maj,1
spectral-flux,broken_sustain,D♯ maj,B dim,D♯,B,maj,dim,False,B dim,B dim,1
spectral-flux,broken_sustain,B dim,F♯ maj,B,F♯,dim,maj,False,F♯ maj,F♯ maj,1
spectral-flux,broken_sustain,F♯ maj,D♯ dim,F♯,D♯,maj,dim,False,D♯ dim,D♯ dim,1
spectral-flux,broken_sustain,D♯ dim,F♯ dim,D♯,F♯,dim,dim,False,F♯ dim,F♯ dim,1
spectral-flux,broken_sustain,F♯ dim,F min,F♯,F,dim,min,False,F min,F min,1
spectral-flux,broken_sustain,F min,F dim,F,F,min,dim,True,F dim,F dim,1
spectral-flux,broken_sustain,F dim,B maj,F,B,dim,maj,False,B maj,B maj,1
spectral-flux,broken_sustain,B maj,C dim,B,C,maj,dim,False,C dim,C dim,1
spectral-flux,broken_sustain,B min,G maj,B,G,min,maj,False,G maj,G maj,1
spectral-flux,broken_sustain,G maj,C♯ min,G,C♯,maj,min,False,C♯ min,C♯ min,1
spectral-flux,broken_sustain,C♯ min,E dim,C♯,E,min,dim,False,E dim,C dim,0
spectral-flux,broken_sustain,E dim,A♯ min,E,A♯,dim,min,False,A♯ min,C dim,0
spectral-flux,broken_sustain,A♯ min,C maj,A♯,C,min,maj,False,C maj,C maj,1
spectral-flux,broken_sustain,C maj,A♯ min,C,A♯,maj,min,False,A♯ min,A♯ min,1
spectral-flux,broken_sustain,A♯ min,G min,A♯,G,min,min,False,G min,C dim,0
spectral-flux,broken_sustain,G min,F min,G,F,min,min,False,F min,G♯ maj,0
spectral-flux,broken_sustain,F min,A♯ min,F,A♯,min,min,False,A♯ min,A♯ min,1
spectral-flux,broken_sustain,C dim,A dim,C,A,dim,dim,False,A dim,C dim,0
spectral-flux,broken_sustain,A dim,C dim,A,C,dim,dim,False,C dim,C dim,1
spectral-flux,broken_sustain,C dim,A maj,C,A,dim,maj,False,A maj,C dim,0
spectral-flux,broken_sustain,A maj,F min,A,F,maj,min,False,F min,G♯ maj,0
spectral-flux,broken_sustain,F min,F♯ maj,F,F♯,min,maj,False,F♯ maj,C dim,0
spectral-flux,broken_sustain,F♯ maj,F dim,F♯,F,maj,dim,False,F dim,C dim,0
spectral-flux,broken_sustain,F dim,A♯ maj,F,A♯,dim,maj,False,A♯ maj,C dim,0
spectral-flux,broken_sustain,A♯ maj,A♯ maj,A♯,A♯,maj,maj,True,A♯ maj,C dim,0
spectral-flux,broken_sustain,A♯ maj,F♯ maj,A♯,F♯,maj,maj,False,F♯ maj,F♯ maj,1
spectral-flux,broken_sustain,F♯ maj,C maj,F♯,C,maj,maj,False,C maj,C dim,0
spectral-flux,broken_sustain,C maj,E dim,C,E,maj,dim,False,E dim,C dim,0
spectral-flux,broken_sustain,E dim,C dim,E,C,dim,dim,False,C dim,C dim,1
spectral-flux,broken_sustain,C dim,A♯ dim,C,A♯,dim,dim,False,A♯ dim,C dim,0
spectral-flux,broken_sustain,A♯ dim,F♯ dim,A♯,F♯,dim,dim,False,F♯ dim,C dim,0
spectral-flux,broken_sustain,F♯ dim,B dim,F♯,B,dim,dim,False,B dim,C dim,0
spectral-flux,broken_sustain,B dim,F♯ maj,B,F♯,dim,maj,False,F♯ maj,C dim,0
spectral-flux,broken_sustain,F♯ maj,G♯ min,F♯,G♯,maj,min,False,G♯ min,G♯ min,1
spectral-flux,broken_sustain,G♯ min,A♯ dim,G♯,A♯,min,dim,False,A♯ dim,C dim,0
spectral-flux,normal_no-sustain,C♯ dim,G min,C♯,G,dim,min,False,G min,C dim,0
spectral-flux,normal_no-sustain,G min,G maj,G,G,min,maj,True,G maj,C dim,0
spectral-flux,normal_no-sustain,G maj,C min,G,C,maj,min,False,C min,C dim,0
spectral-flux,normal_no-sustain,C min,D♯ dim,C,D♯,min,dim,False,D♯ dim,D♯ dim,1
spectral-flux,normal_no-sustain,D♯ dim,C dim,D♯,C,dim,dim,False,C dim,C dim,1
spectral-flux,normal_no-sustain,C dim,G maj,C,G,dim,maj,False,G maj,C dim,0
spectral-flux,normal_no-sustain,G maj,A min,G,A,maj,min,False,A min,A min,1
spectral-flux,normal_no-sustain,A min,A♯ min,A,A♯,min,min,False,A♯ min,C dim,0
spectral-flux,normal_no-sustain,A♯ min,D maj,A♯,D,min,maj,False,D maj,D maj,1
spectral-flux,normal_no-sustain,A min,C♯ maj,A,C♯,min,maj,False,C♯ maj,C dim,0
spectral-flux,normal_no-sustain,C♯ maj,G min,C♯,G,maj,min,False,G min,C dim,0
spectral-flux,normal_no-sustain,G min,B maj,G,B,min,maj,False,B maj,C dim,0
spectral-flux,normal_no-sustain,B maj,F♯ maj,B,F♯,maj,maj,False,F♯ maj,C dim,0
spectral-flux,normal_no-sustain,F♯ maj,B dim,F♯,B,maj,dim,False,B dim,C dim,0
